"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 28 17:10:34 EEST 2022","Sun Aug 28 17:10:34 EEST 2022","171","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should checkout the order successfully ","should checkout the order successfully ",""
"passed","Sun Aug 28 17:10:30 EEST 2022","Sun Aug 28 17:10:31 EEST 2022","185","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should verify the Price(high - low) selection","should verify the Price(high - low) selection",""
"passed","Sun Aug 28 17:10:27 EEST 2022","Sun Aug 28 17:10:27 EEST 2022","110","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should display the Password for all users","should display the Password for all users",""
"passed","Sun Aug 28 17:10:29 EEST 2022","Sun Aug 28 17:10:30 EEST 2022","1048","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should log user in successfully","should log user in successfully",""
"passed","Sun Aug 28 17:10:30 EEST 2022","Sun Aug 28 17:10:30 EEST 2022","189","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should verify the Price(low - high) selection","should verify the Price(low - high) selection",""
"passed","Sun Aug 28 17:10:31 EEST 2022","Sun Aug 28 17:10:31 EEST 2022","356","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should navigate to the product page","should navigate to the product page",""
"passed","Sun Aug 28 17:10:33 EEST 2022","Sun Aug 28 17:10:34 EEST 2022","807","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should fill the checkout form successfully","should fill the checkout form successfully",""
"passed","Sun Aug 28 17:10:33 EEST 2022","Sun Aug 28 17:10:33 EEST 2022","476","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should checkout a product","should checkout a product",""
"passed","Sun Aug 28 17:10:32 EEST 2022","Sun Aug 28 17:10:33 EEST 2022","335","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should remove multiple products from cart page","should remove multiple products from cart page",""
"passed","Sun Aug 28 17:10:30 EEST 2022","Sun Aug 28 17:10:30 EEST 2022","237","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should verify the Name(Z - A) selection","should verify the Name(Z - A) selection",""
"passed","Sun Aug 28 17:10:30 EEST 2022","Sun Aug 28 17:10:30 EEST 2022","364","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should verify the Name(A - Z) selection","should verify the Name(A - Z) selection",""
"passed","Sun Aug 28 17:10:32 EEST 2022","Sun Aug 28 17:10:32 EEST 2022","552","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should add multiple products to the cart","should add multiple products to the cart",""
"passed","Sun Aug 28 17:10:34 EEST 2022","Sun Aug 28 17:10:34 EEST 2022","259","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should verify after purchase, there is no product in cart ","should verify after purchase, there is no product in cart ",""
"passed","Sun Aug 28 17:10:26 EEST 2022","Sun Aug 28 17:10:27 EEST 2022","1207","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","to display the saucedemo website","to display the saucedemo website",""
"passed","Sun Aug 28 17:10:34 EEST 2022","Sun Aug 28 17:10:36 EEST 2022","1952","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should check for the menu bar links ","should check for the menu bar links ",""
"passed","Sun Aug 28 17:10:27 EEST 2022","Sun Aug 28 17:10:27 EEST 2022","150","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should display the Accepted username text","should display the Accepted username text",""
"passed","Sun Aug 28 17:10:31 EEST 2022","Sun Aug 28 17:10:32 EEST 2022","423","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should remove a product from cart at the product page","should remove a product from cart at the product page",""
"passed","Sun Aug 28 17:10:27 EEST 2022","Sun Aug 28 17:10:29 EEST 2022","1263","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should display error message with invalid login","should display error message with invalid login",""
"passed","Sun Aug 28 17:10:31 EEST 2022","Sun Aug 28 17:10:31 EEST 2022","316","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should add product to cart","should add product to cart",""
"passed","Sun Aug 28 17:10:31 EEST 2022","Sun Aug 28 17:10:31 EEST 2022","173","","to ascertain all the functionalities of saucedmo are working","","to ascertain all the functionalities of saucedmo are working","should navigate to product page from detail page","should navigate to product page from detail page",""
